,Old Norse Root,Icelandic Word,Norwegian Nynorsk Word,Old Norse URL,Icelandic URL,Norwegian Nynorsk URL
97,brúðr,brúður,brur,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0ur,https://en.wiktionary.org/wiki/brur
98,byggja,byggja,byggja,https://en.wiktionary.org/wiki/byggja#Old_Norse,https://en.wiktionary.org/wiki/byggja,https://en.wiktionary.org/wiki/byggja
99,bylgja,bylgja,bylgje,https://en.wiktionary.org/wiki/bylgja#Old_Norse,https://en.wiktionary.org/wiki/bylgja,https://en.wiktionary.org/wiki/bylgje
100,bylgja,bylgja,bølge,https://en.wiktionary.org/wiki/bylgja#Old_Norse,https://en.wiktionary.org/wiki/bylgja,https://en.wiktionary.org/wiki/b%C3%B8lge
101,bylgja,bylgja,bølgje,https://en.wiktionary.org/wiki/bylgja#Old_Norse,https://en.wiktionary.org/wiki/bylgja,https://en.wiktionary.org/wiki/b%C3%B8lgje
102,byrja,byrja,byrja,https://en.wiktionary.org/wiki/byrja#Old_Norse,https://en.wiktionary.org/wiki/byrja,https://en.wiktionary.org/wiki/byrja
103,byrja,byrja,byrje,https://en.wiktionary.org/wiki/byrja#Old_Norse,https://en.wiktionary.org/wiki/byrja,https://en.wiktionary.org/wiki/byrje
104,bál,bál,bål,https://en.wiktionary.org/wiki/b%C3%A1l#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1l,https://en.wiktionary.org/wiki/b%C3%A5l
105,bára,bára,båra,https://en.wiktionary.org/wiki/b%C3%A1ra#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1ra,https://en.wiktionary.org/wiki/b%C3%A5ra
106,bátr,bátur,båt,https://en.wiktionary.org/wiki/b%C3%A1tr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1tur,https://en.wiktionary.org/wiki/b%C3%A5t
107,báðir,báðir,både,https://en.wiktionary.org/wiki/b%C3%A1%C3%B0ir#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1%C3%B0ir,https://en.wiktionary.org/wiki/b%C3%A5de
108,báðir,báðir,båe,https://en.wiktionary.org/wiki/b%C3%A1%C3%B0ir#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1%C3%B0ir,https://en.wiktionary.org/wiki/b%C3%A5e
109,bera,bæra,bera,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A6ra,https://en.wiktionary.org/wiki/bera
110,bera,bæra,bere,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A6ra,https://en.wiktionary.org/wiki/bere
111,bera,bæra,berra,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A6ra,https://en.wiktionary.org/wiki/berra
112,edit,bíða eftir,bit,https://en.wiktionary.org/w/index.php?title=b%C3%AD%C3%B0a_eftir&action=edit&section=7,https://en.wiktionary.org/wiki/b%C3%AD%C3%B0a_eftir,https://en.wiktionary.org/wiki/bit
113,bógr,bógur,bog,https://en.wiktionary.org/wiki/b%C3%B3gr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3gur,https://en.wiktionary.org/wiki/bog
114,bók,bók,bok,https://en.wiktionary.org/wiki/b%C3%B3k#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3k,https://en.wiktionary.org/wiki/bok
115,bók,bók,bøk,https://en.wiktionary.org/wiki/b%C3%B3k#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3k,https://en.wiktionary.org/wiki/b%C3%B8k
