,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
86,bógr,bógur,bog,https://en.wiktionary.org/wiki/b%C3%B3gr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3gur,https://en.wiktionary.org/wiki/bog
87,bók,bók,bok,https://en.wiktionary.org/wiki/b%C3%B3k#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3k,https://en.wiktionary.org/wiki/bok
88,bók,bók,bøk,https://en.wiktionary.org/wiki/b%C3%B3k#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3k,https://en.wiktionary.org/wiki/b%C3%B8k
89,bókstafr,bókstafur,bokstav,https://en.wiktionary.org/wiki/b%C3%B3kstafr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3kstafur,https://en.wiktionary.org/wiki/bokstav
90,bót,bót,bot,https://en.wiktionary.org/wiki/b%C3%B3t#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3t,https://en.wiktionary.org/wiki/bot
91,bǫllr,böllur,ball,https://en.wiktionary.org/wiki/b%C7%ABllr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B6llur,https://en.wiktionary.org/wiki/ball
92,bǫrkr,börkur,bark,https://en.wiktionary.org/wiki/b%C7%ABrkr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B6rkur,https://en.wiktionary.org/wiki/bark
93,bú,bú,bo,https://en.wiktionary.org/wiki/b%C3%BA#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BA,https://en.wiktionary.org/wiki/bo
94,búkr,búkur,buk,https://en.wiktionary.org/wiki/b%C3%BAkr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BAkur,https://en.wiktionary.org/wiki/buk
95,búnaðr,búnaður,bunad,https://en.wiktionary.org/wiki/b%C3%BAna%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BAna%C3%B0ur,https://en.wiktionary.org/wiki/bunad
96,búr,búr,bur,https://en.wiktionary.org/wiki/b%C3%BAr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BAr,https://en.wiktionary.org/wiki/bur
97,bý,bý,bie,https://en.wiktionary.org/wiki/b%C3%BD#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BD,https://en.wiktionary.org/wiki/bie
98,dagr,dagur,dag,https://en.wiktionary.org/wiki/dagr#Old_Norse,https://en.wiktionary.org/wiki/dagur,https://en.wiktionary.org/wiki/dag
99,danskr,danskur,dansk,https://en.wiktionary.org/wiki/danskr#Old_Norse,https://en.wiktionary.org/wiki/danskur,https://en.wiktionary.org/wiki/dansk
100,daufr,daufur,døv,https://en.wiktionary.org/wiki/daufr#Old_Norse,https://en.wiktionary.org/wiki/daufur,https://en.wiktionary.org/wiki/d%C3%B8v
101,deig,deig,deig,https://en.wiktionary.org/wiki/deig#Old_Norse,https://en.wiktionary.org/wiki/deig,https://en.wiktionary.org/wiki/deig
102,deyja,deyja,dø,https://en.wiktionary.org/wiki/deyja#Old_Norse,https://en.wiktionary.org/wiki/deyja,https://en.wiktionary.org/wiki/d%C3%B8
