,Proto-Germanic Root,Dutch Word,English Word,Proto-Germanic URL,Dutch URL,English URL
99,*bi,bij,bove,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi,https://en.wiktionary.org/wiki/bij,https://en.wiktionary.org/wiki/bove
100,*bi,bij,by,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi,https://en.wiktionary.org/wiki/bij,https://en.wiktionary.org/wiki/by
101,*bilją,bijl,bill,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bilj%C4%85,https://en.wiktionary.org/wiki/bijl,https://en.wiktionary.org/wiki/bill
102,*bītaną,bijten,bite,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C4%ABtan%C4%85,https://en.wiktionary.org/wiki/bijten,https://en.wiktionary.org/wiki/bite
103,*bindaną,binden,bind,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bindan%C4%85,https://en.wiktionary.org/wiki/binden,https://en.wiktionary.org/wiki/bind
104,*wisundaz,bizon,bison,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wisundaz,https://en.wiktionary.org/wiki/bizon,https://en.wiktionary.org/wiki/bison
105,*bladą,blad,blade,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blad%C4%85,https://en.wiktionary.org/wiki/blad,https://en.wiktionary.org/wiki/blade
106,*blētijaną,blaten,bleat,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C4%93tijan%C4%85,https://en.wiktionary.org/wiki/blaten,https://en.wiktionary.org/wiki/bleat
107,*blaikaz,bleek,bleach,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blaikaz,https://en.wiktionary.org/wiki/bleek,https://en.wiktionary.org/wiki/bleach
108,*blīþiz,blij,blithe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C4%AB%C3%BEiz,https://en.wiktionary.org/wiki/blij,https://en.wiktionary.org/wiki/blithe
