,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
5779,Middle French,Persian,Category:Middle French terms derived from Persian,0,1,https://en.wiktionary.org/wiki/Category:Middle_French_terms_derived_from_Persian
5780,Seychellois Creole,Afrikaans,Category:Seychellois Creole terms derived from Afrikaans,0,1,https://en.wiktionary.org/wiki/Category:Seychellois_Creole_terms_derived_from_Afrikaans
5781,Seychellois Creole,Kongo,Category:Seychellois Creole terms derived from Kongo,0,1,https://en.wiktionary.org/wiki/Category:Seychellois_Creole_terms_derived_from_Kongo
5782,Thai,Tai Dón,Category:Thai terms derived from Tai Dón,0,1,https://en.wiktionary.org/wiki/Category:Thai_terms_derived_from_Tai_D%C3%B3n
5783,Jita,Proto-Bantu,Category:Jita terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Jita_terms_derived_from_Proto-Bantu
5784,Gwere,Proto-Bantu,Category:Gwere terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Gwere_terms_derived_from_Proto-Bantu
5785,Fipa,Proto-Bantu,Category:Fipa terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Fipa_terms_derived_from_Proto-Bantu
5786,Matengo,Proto-Bantu,Category:Matengo terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Matengo_terms_derived_from_Proto-Bantu
5787,Sena,Proto-Bantu,Category:Sena terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Sena_terms_derived_from_Proto-Bantu
5788,Konkani,Old Portuguese,Category:Konkani terms derived from Old Portuguese,0,2,https://en.wiktionary.org/wiki/Category:Konkani_terms_derived_from_Old_Portuguese
5789,Kwaya,Proto-Bantu,Category:Kwaya terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Kwaya_terms_derived_from_Proto-Bantu
5790,Rungwa,Proto-Bantu,Category:Rungwa terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Rungwa_terms_derived_from_Proto-Bantu
5791,Latin,Min Nan,Category:Latin terms derived from Min Nan,0,1,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Min_Nan
5792,Awadhi,Old Persian,Category:Awadhi terms derived from Old Persian,0,1,https://en.wiktionary.org/wiki/Category:Awadhi_terms_derived_from_Old_Persian
5793,Sheshi Kham,Sanskrit,Category:Sheshi Kham terms derived from Sanskrit,1,1,https://en.wiktionary.org/wiki/Category:Sheshi_Kham_terms_derived_from_Sanskrit
5794,Old Hindi,Arabic,Category:Old Hindi terms derived from Arabic,1,3,https://en.wiktionary.org/wiki/Category:Old_Hindi_terms_derived_from_Arabic
5795,Old Hindi,Persian,Category:Old Hindi terms derived from Persian,1,1,https://en.wiktionary.org/wiki/Category:Old_Hindi_terms_derived_from_Persian
5796,Plains Cree,Sarcee,Category:Plains Cree terms derived from Sarcee,1,1,https://en.wiktionary.org/wiki/Category:Plains_Cree_terms_derived_from_Sarcee
5797,Norwegian Nynorsk,Dhivehi,Category:Norwegian Nynorsk terms derived from Dhivehi,0,1,https://en.wiktionary.org/wiki/Category:Norwegian_Nynorsk_terms_derived_from_Dhivehi
5798,English,Cia-Cia,Category:English terms derived from Cia-Cia,1,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Cia-Cia
5799,Korean,Cia-Cia,Category:Korean terms derived from Cia-Cia,1,1,https://en.wiktionary.org/wiki/Category:Korean_terms_derived_from_Cia-Cia
5800,Italian,Crimean Tatar,Category:Italian terms derived from Crimean Tatar,0,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Crimean_Tatar
5801,Lishana Deni,Arabic,Category:Lishana Deni terms derived from Arabic,1,2,https://en.wiktionary.org/wiki/Category:Lishana_Deni_terms_derived_from_Arabic
5802,Catalan,Crimean Tatar,Category:Catalan terms derived from Crimean Tatar,0,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Crimean_Tatar
5803,Vilamovian,Middle Dutch,Category:Vilamovian terms derived from Middle Dutch,0,1,https://en.wiktionary.org/wiki/Category:Vilamovian_terms_derived_from_Middle_Dutch
5804,Yup'ik,Old Norse,Category:Yup'ik terms derived from Old Norse,0,1,https://en.wiktionary.org/wiki/Category:Yup%27ik_terms_derived_from_Old_Norse
5805,Mongolian,Classical Syriac,Category:Mongolian terms derived from Classical Syriac,0,1,https://en.wiktionary.org/wiki/Category:Mongolian_terms_derived_from_Classical_Syriac
5806,Braj,Old Hindi,Category:Braj terms derived from Old Hindi,1,1,https://en.wiktionary.org/wiki/Category:Braj_terms_derived_from_Old_Hindi
5807,Braj,Sauraseni Apabhramsa,Category:Braj terms derived from Sauraseni Apabhramsa,1,1,https://en.wiktionary.org/wiki/Category:Braj_terms_derived_from_Sauraseni_Apabhramsa
5808,Mandaic,Middle Persian,Category:Mandaic terms derived from Middle Persian,0,1,https://en.wiktionary.org/wiki/Category:Mandaic_terms_derived_from_Middle_Persian
5809,Westrobothnian,Old English,Category:Westrobothnian terms derived from Old English,0,1,https://en.wiktionary.org/wiki/Category:Westrobothnian_terms_derived_from_Old_English
5810,Luxembourgish,Old Czech,Category:Luxembourgish terms derived from Old Czech,0,1,https://en.wiktionary.org/wiki/Category:Luxembourgish_terms_derived_from_Old_Czech
5811,Saanich,Chinook Jargon,Category:Saanich terms derived from Chinook Jargon,1,1,https://en.wiktionary.org/wiki/Category:Saanich_terms_derived_from_Chinook_Jargon
5812,Toki Pona,Mandarin,Category:Toki Pona terms derived from Mandarin,0,2,https://en.wiktionary.org/wiki/Category:Toki_Pona_terms_derived_from_Mandarin
5813,Zacatepec Chatino,Spanish,Category:Zacatepec Chatino terms derived from Spanish,1,1,https://en.wiktionary.org/wiki/Category:Zacatepec_Chatino_terms_derived_from_Spanish
5814,Hungarian,Sauraseni Prakrit,Category:Hungarian terms derived from Sauraseni Prakrit,0,1,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Sauraseni_Prakrit
5815,Lubuagan Kalinga,Spanish,Category:Lubuagan Kalinga terms derived from Spanish,1,1,https://en.wiktionary.org/wiki/Category:Lubuagan_Kalinga_terms_derived_from_Spanish
5816,Spanish,Serbo-Croatian,Category:Spanish terms derived from Serbo-Croatian,0,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Serbo-Croatian
5817,Catalan,Sauraseni Prakrit,Category:Catalan terms derived from Sauraseni Prakrit,0,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Sauraseni_Prakrit
5818,Cebuano,Southern Sama,Category:Cebuano terms derived from Southern Sama,0,1,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Southern_Sama
5819,Cebuano,Central Sama,Category:Cebuano terms derived from Central Sama,0,1,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Central_Sama
5820,Cebuano,Pangutaran Sama,Category:Cebuano terms derived from Pangutaran Sama,0,1,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Pangutaran_Sama
5821,Breton,Middle Dutch,Category:Breton terms derived from Middle Dutch,0,1,https://en.wiktionary.org/wiki/Category:Breton_terms_derived_from_Middle_Dutch
5822,Asturian,Old Spanish,Category:Asturian terms derived from Old Spanish,0,1,https://en.wiktionary.org/wiki/Category:Asturian_terms_derived_from_Old_Spanish
5823,Marshallese,Old Persian,Category:Marshallese terms derived from Old Persian,0,3,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Old_Persian
5824,Unua,Proto-Oceanic,Category:Unua terms derived from Proto-Oceanic,0,1,https://en.wiktionary.org/wiki/Category:Unua_terms_derived_from_Proto-Oceanic
5825,Persian,Southern Kurdish,Category:Persian terms derived from Southern Kurdish,3,1,https://en.wiktionary.org/wiki/Category:Persian_terms_derived_from_Southern_Kurdish
5826,Bankon,Proto-Bantu,Category:Bankon terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Bankon_terms_derived_from_Proto-Bantu
5827,Basaa,Proto-Bantu,Category:Basaa terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Basaa_terms_derived_from_Proto-Bantu
5828,Libyan Arabic,Ewe,Category:Libyan Arabic terms derived from Ewe,1,1,https://en.wiktionary.org/wiki/Category:Libyan_Arabic_terms_derived_from_Ewe
5829,Ottoman Turkish,Sicilian,Category:Ottoman Turkish terms derived from Sicilian,1,3,https://en.wiktionary.org/wiki/Category:Ottoman_Turkish_terms_derived_from_Sicilian
5830,Bulgarian,Middle Dutch,Category:Bulgarian terms derived from Middle Dutch,0,1,https://en.wiktionary.org/wiki/Category:Bulgarian_terms_derived_from_Middle_Dutch
5831,Finnish,Middle English,Category:Finnish terms derived from Middle English,0,1,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Middle_English
5832,Dutch,Sauraseni Prakrit,Category:Dutch terms derived from Sauraseni Prakrit,0,1,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Sauraseni_Prakrit
5833,Coatlán Mixe,Spanish,Category:Coatlán Mixe terms derived from Spanish,1,1,https://en.wiktionary.org/wiki/Category:Coatl%C3%A1n_Mixe_terms_derived_from_Spanish
5834,Gulf Arabic,Italian,Category:Gulf Arabic terms derived from Italian,1,1,https://en.wiktionary.org/wiki/Category:Gulf_Arabic_terms_derived_from_Italian
